,series_1,series_2,series_3
2018-01-01,1.015252402793127,3.904380250764708,5.302137023921331
2018-01-02,1.9486332435446427,5.09737982341262,11.058619627621763
2018-01-03,5.7553793899418,9.3659473635127,10.696200212434354
2018-01-04,9.682842731213935,13.13215287916887,13.826944178711267
2018-01-05,8.132393414278496,14.112153782082014,22.897216274650297
2018-01-06,10.053951021913472,16.285822509590936,23.342940146178496
2018-01-07,15.537776260066057,16.126163126791518,15.028984430077802
2018-01-08,15.474940879967008,17.949333898587653,24.007280840400075
2018-01-09,14.344189724787125,17.25969987713732,24.7801167629712
2018-01-10,17.60241799613518,27.429318593537747,18.092018062604723
2018-01-11,16.494759512025013,19.661472942746723,25.57118289228831
2018-01-12,17.197250387618364,21.73245234627234,28.139682540756652
2018-01-13,19.100029319827083,21.818596239735204,17.932056844972223
2018-01-14,14.873091095469544,26.27627461113178,17.993731246186012
2018-01-15,15.187404922214547,22.359532895041788,24.153308757409917
2018-01-16,17.239610604993658,25.968386031527476,20.1433757793595
2018-01-17,15.72804993791181,19.322622447441894,19.66898009674
2018-01-18,17.618591044114417,20.641927463764034,17.15262683453642
2018-01-19,14.044436753252468,15.755559165030412,15.398188591358373
2018-01-20,11.726998578730386,22.397890112176082,6.939734371118595
2018-01-21,16.159110949250316,10.679139831440922,13.462875317621803
2018-01-22,11.032342838808205,12.668679864762069,11.559351117363569
2018-01-23,9.83296262508995,11.140016518092812,3.9598541537088696
2018-01-24,4.841200392296434,7.939244841189796,2.1897322626276567
2018-01-25,4.632821680611372,3.578251000203567,-5.768388075344467
2018-01-26,3.8993753690290625,1.0721250569303369,-0.6072899065712702
2018-01-27,-0.8095740637364024,-1.0823740642115596,-2.722443764066583
2018-01-28,0.21815411629606785,-4.235422210396467,-7.285640323474001
2018-01-29,-3.8733963661178397,-3.547268086114125,-4.954661227410916
2018-01-30,-5.257283891375219,-2.3377965260041558,-12.24310309256043
2018-01-31,-7.822957754470796,-12.538095999373535,-10.586222271054202
